Student Name,Student ID,Year,IOT,CTSD,DS,OOPS,DTI,COA,DBMS,PFSD,MPC,ASE,OS,Specialization
Student_1,1000,1,7,8,9,6,8,7,8,6,6,8,8,AI-IPA
Student_2,1001,2,6,8,10,6,9,7,7,6,10,6,8,Cloud
Student_3,1002,2,8,10,7,7,7,7,8,6,10,10,9,Cyber Security
Student_4,1003,1,9,6,6,8,9,7,10,6,7,8,7,Cyber Security
Student_5,1004,1,6,8,8,10,7,10,9,10,8,8,9,Cloud
Student_6,1005,2,6,7,10,9,6,9,8,7,8,10,8,Cyber Security
Student_7,1006,1,8,7,9,8,10,8,10,6,8,7,7,Cloud
Student_8,1007,1,9r,7,6,10,9,10,8,7,7,7,7,Cloud
Student_9,1008,1,8,7,7,7,9,10,7,9,7,10,10,AI-IPA
Student_10,1009,2,6,9,6,6,9,10,7,6,6,9,6,AI-IPA
Student_11,1010,1,6,9,7,6,9,9,7,9,6,10,6,AI-IPA
Student_12,1011,2,7,10,6,9,10,9,10,7c,9,8,10,AI-IPA
Student_13,1012,2,7,7,9,8,7,8,10,8,10,10,9,Cyber Security
Student_14,1013,1,9,6,8,6,7,9,9,6,10,7,9,Cloud
Student_15,1014,2,6,6,10,9,9,8,8,7,8,7,6,Cyber Security
Student_16,1015,2,9,10,8,8,9,7,8,8,10,9,7,Cloud
Student_17,1016,1,10,10,8,6,10,7,9,7,9,6,10,Cloud
Student_18,1017,2,6,8,6,7,8,7,8,8,8,10,8,Cyber Security
Student_19,1018,2,7,9,7,9,8,10,6,9,9,10,10,AI-IPA
Student_20,1019,2,6,6,6,8,8,9,8,9,6,6,9,AI-IPA
Student_21,1020,2,6,10,9,8,8,6,8,6,7,6,9,Cloud
Student_22,1021,2,8,8,8,9,6,7,8,9,8,8,6,AI-IPA
Student_23,1022,1,9,7,6,7,9,7,7,7,7,10,6,Cloud
Student_24,1023,2,9,8,6,9,6,8,10,7,8,9,10,Cyber Security
Student_25,1024,1,9,6,6,9,9,6,6,6,10,9,7,Cyber Security
Student_26,1025,1,9,8,10,9,7,7,6,9,10,6,9,Cyber Security
Student_27,1026,2,6,8,8,10,7,7,6,10,10,10,10,Cloud
Student_28,1027,2,8,9,8,8,9,6,7,8,7,9,10,AI-IPA
Student_29,1028,2,10,6,0,9,6,6,10,8,10,6,8,AI-IPA
Student_30,1029,2,6,8,7,8,7,8,8,7,10,6,9,AI-IPA
Student_31,1030,1,10,8,g,10,10,10,10,6,9,8,7,Cloud
Student_32,1031,2,9,9,6,10,6,7,6,8,9,10,7,Cyber Security
Student_33,1032,1,10,6,7,9,9,10,8,8,10,10,9,Cyber Security
Student_34,1033,1,9,7,8,8,8,8,10,10,8,7,6,AI-IPA
Student_35,1034,1,10,9,7,n,9,10,10,6,8,7,7,Cloud
Student_36,1035,2,7,8,6,6,6,6,10,6,10,7,9,Cyber Security
Student_37,1036,2,8,6,8,10,8,10,10,6,10,8,10,AI-IPA
Student_38,1037,1,10,9,7,9,8,8,10,9,9,10,8,AI-IPA
Student_39,1038,1,7,8,9,10,8,7,e,9,9,7,10,AI-IPA
Student_40,1039,2,7,9,7,9,9,10,7,6,8,9,8,Cloud
Student_41,1040,2,9,7,7,6,7,9,9,6,7,7,9,Cyber Security
Student_42,1041,1,6,6,6,10,7,9,6,7,6,6,9,AI-IPA
Student_43,1042,2,7,10,10,10,7,8,10,6,6,7,6,Cyber Security
Student_44,1043,2,7,6,9,9,10,10,10,7,9,10,7,Cyber Security
Student_45,1044,2,10,7,9,9,6,10,8,7,9,9,6,AI-IPA
Student_46,1045,2,8,6,7,7,9,10,7,10,9,6,9,AI-IPA
Student_47,1046,1,9,10,9,8,7,10,8,7,8,9,8,AI-IPA
Student_48,1047,1,6,8,6,10,7,8,6,7,7,10,6,AI-IPA
Student_49,1048,2,6,10,9,9,6,8,10,7,8,8,6,Cloud
Student_50,1049,2,7,7,9,6,7,8,6,6,6,8,7,Cyber Security
Student_51,1050,1,10,7,10,10,7,9,9,9,7,10,9,Cloud
Student_52,1051,1,10,7,8,8,8,7,7,10,7,6,8,AI-IPA
Student_53,1052,2,7,6,6,9,10,7,9,9,8,10,8,Cloud
Student_54,1053,2,7,7,8,8,6,7,6,j,9,8,7,AI-IPA
Student_55,1054,1,7,6,10,7,7,7,9,6,7,9,7,Cyber Security
Student_56,1055,2,6,10,6,10,10,9,10,7,7,7,7,Cyber Security
Student_57,1056,1,10,10,9,9,8,6,10,8,6,9,7,Cloud
Student_58,1057,1,7,7,7,9,6,6,6,7,10,10,7,Cyber Security
Student_59,1058,1,8,8,10,7,10,10,6,10,10,9,10,AI-IPA
Student_60,1059,2,9,10,hsdf,6,9,9,7,9,6,7,6,Cyber Security
Student_61,1060,1,8,10,6,6,8,7,8,6,8,6,8,Cloud
Student_62,1061,2,6,8,10,6,7,7,10,9,8,7,6,AI-IPA
Student_63,1062,1,10,8,10,7,9,9,6,10,8,8,6,AI-IPA
Student_64,1063,2,9,8,6,9,6,6,7,10,6,10,7,AI-IPA
Student_65,1064,1,7,8,8,7,10,6,10,6,6,8,9,AI-IPA
Student_66,1065,1,7,10,7,8,7,6,7,9,10,10,9,Cloud
Student_67,1066,1,9,7,7,6,9,10,9,9,9,10,8,AI-IPA
Student_68,1067,1,9,7,9,8,10,6,6,6,6,9,6,AI-IPA
Student_69,1068,1,9,7,9,6,10,7,10,7,7,6,7,AI-IPA
Student_70,1069,2,9,8,6,7,7,7,10,7,6,10,8,AI-IPA
Student_71,1070,1,8,7,10,7,6,10,9,6,7,6,9,Cyber Security
Student_72,1071,2,8,7,10,7,6,8,9,7,8,8,6,Cyber Security
Student_73,1072,1,8,9,7,9,8,10,10,10,8,7,8,Cyber Security
Student_74,1073,2,8,10,7,10,6,6,9,9,10,9,10,Cyber Security
Student_75,1074,2,7,10,8,6,6,9,9,10,8,7,8,Cyber Security
Student_76,1075,2,10,10,6,10,6,8,10,10,9,8,8,Cyber Security
Student_77,1076,1,10,7,10,9,8,8,8,8,6,6,10,AI-IPA
Student_78,1077,2,8,7,8,9,7,10,6,10,9,7,10,Cloud
Student_79,1078,1,9,7,9,9,8,6,,10,6,7,8,Cloud
Student_80,1079,2,10,10,8,6,9,9,10,10,8,6,6,Cyber Security
Student_81,1080,2,7,9,7,7,7,10,9,10,8,7,9,AI-IPA
Student_82,1081,2,9,6,10,8,8,8,10,6,8,7,9,Cyber Security
Student_83,1082,2,10,6,9,6,8,10,10,7,6,10,9,Cyber Security
Student_84,1083,2,10,9,7,9,6,7,10,8,9,7,7,Cloud
Student_85,1084,1,8,10,10,7,8,8,10,9,10,8,9,AI-IPA
Student_86,1085,1,6,7,10,8,8,9,9,7,8,7,9,Cyber Security
Student_87,1086,1,10,9,9,8,10,10,7,7,9,10,10,Cyber Security
Student_88,1087,2,8,8,8,6,9,8,6,9,10,10,9,AI-IPA
Student_89,1088,2,10,9,7,10,10,8,6,9,7,9,9,Cyber Security
Student_90,1089,1,6,9,10,7,7,10,10,8,8,9,9,Cloud
Student_91,1090,1,8,8,9,9,6,8,6,7,6,8,8,Cyber Security
Student_92,1091,2,8,7,8,6,9,9,8,6,6,6,9,Cloud
